TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:13122	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:13360	2	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:13361	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:14137	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:15357	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:16987	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:17252	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:17855	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:18194	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:192156	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:20775	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:208715	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:212898	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:235293	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:23972	2	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:240549	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:242341	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:26384	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:26876	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:319554	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:320438	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:54128	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:60525	2	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:66234	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:66355	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:68603	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:72361	2	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:74091	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:74205	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:76267	2	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:76355	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:77697	4	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$DR4_Q2	Enzyme-layer	KEGG_REACTION_GENE	mmu:79059	3	LXR, PXR, CAR, COUP, RAR
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:108148	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:14755	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:229589	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:23945	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:27029	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:29858	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:53357	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:58994	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:72962	3	Egr-1
TF-layer	name	V$EGR1_Q6	Enzyme-layer	KEGG_REACTION_GENE	mmu:77626	3	Egr-1
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:104112	2	ER-alpha
TF-layer	name	V$ERALPHA_Q6_01	Enzyme-layer	KEGG_REACTION_GENE	mmu:110855	2	ER-alpha
